epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,404.731,1.28525,1.27346,1.15095,0.41215,0.39845,0.3791,0.25434,1.49366,1.38878,1.16406,0.0091882,0.0091882,0.0091882
43,413.924,1.27131,1.2645,1.14909,0.78485,0.34797,0.43521,0.28705,1.46923,1.35035,1.13958,0.0091684,0.0091684,0.0091684
44,423.274,1.26648,1.24682,1.144,0.83452,0.32943,0.44772,0.28458,1.46154,1.36105,1.15791,0.0091486,0.0091486,0.0091486
45,432.483,1.26933,1.25965,1.15332,0.79148,0.35585,0.43303,0.27996,1.44397,1.30289,1.13727,0.0091288,0.0091288,0.0091288
46,441.671,1.28074,1.2529,1.14583,0.64122,0.36874,0.42945,0.29204,1.45757,1.34211,1.15178,0.009109,0.009109,0.009109
47,450.964,1.26366,1.24242,1.1471,0.79136,0.35419,0.39624,0.27019,1.45023,1.2953,1.14276,0.0090892,0.0090892,0.0090892
48,460.185,1.25526,1.23007,1.14709,0.77934,0.35522,0.41368,0.29724,1.44348,1.28678,1.1424,0.0090694,0.0090694,0.0090694
49,469.44,1.26374,1.24213,1.14873,0.78886,0.35526,0.41984,0.28586,1.42642,1.27013,1.13247,0.0090496,0.0090496,0.0090496
50,478.635,1.25236,1.23024,1.13607,0.68171,0.47044,0.44213,0.29944,1.43497,1.28692,1.11927,0.0090298,0.0090298,0.0090298
51,487.936,1.27233,1.23009,1.14258,0.8322,0.3427,0.438,0.31429,1.41711,1.26967,1.1221,0.00901,0.00901,0.00901
52,497.221,1.25679,1.21839,1.13483,0.82702,0.35932,0.46395,0.30172,1.43417,1.2387,1.12645,0.0089902,0.0089902,0.0089902
53,506.43,1.23828,1.20371,1.13615,0.81902,0.36833,0.47355,0.30064,1.42945,1.25015,1.12918,0.0089704,0.0089704,0.0089704
54,515.639,1.24693,1.21006,1.13647,0.80648,0.36236,0.40715,0.28287,1.4252,1.2951,1.11888,0.0089506,0.0089506,0.0089506
55,524.836,1.23194,1.209,1.13644,0.79519,0.36729,0.45467,0.2949,1.4245,1.20613,1.12041,0.0089308,0.0089308,0.0089308
56,534.03,1.23664,1.20187,1.13026,0.81762,0.34816,0.40879,0.29383,1.39905,1.22462,1.11084,0.008911,0.008911,0.008911
57,543.238,1.25799,1.20861,1.1369,0.48165,0.45311,0.43423,0.30015,1.39369,1.19845,1.1118,0.0088912,0.0088912,0.0088912
58,552.421,1.22843,1.17879,1.12652,0.70117,0.36433,0.42994,0.30271,1.39125,1.2016,1.11074,0.0088714,0.0088714,0.0088714
59,561.64,1.22835,1.18821,1.12945,0.86883,0.34314,0.4386,0.30964,1.38764,1.20457,1.11076,0.0088516,0.0088516,0.0088516
60,570.847,1.24574,1.1922,1.13107,0.85477,0.3562,0.44349,0.30674,1.38138,1.19333,1.10734,0.0088318,0.0088318,0.0088318
61,580.044,1.22058,1.17224,1.1275,0.50674,0.43267,0.42211,0.30049,1.39327,1.17806,1.11,0.008812,0.008812,0.008812
62,589.253,1.23594,1.18699,1.12574,0.35585,0.46284,0.41836,0.29671,1.3785,1.2084,1.10572,0.0087922,0.0087922,0.0087922
